ID,PredictedProb
0,0.2868333333333334
1,0.7601666666666667
2,0.8310000000000001
7,0.5843333333333335
10,0.8455000000000003
11,0.6275402019170637
13,0.951
14,0.5815000000000002
15,0.947683908045977
16,0.8136547536360629
17,0.7705257380943157
18,0.7241666666666666
19,0.9196666666666666
20,0.8019393939393937
25,0.9338333333333334
26,0.8023333333333335
29,0.6833072139303482
38,0.9703333333333334
41,0.9393333333333335
44,0.5819999999999999
45,0.31983333333333336
47,0.6963333333333334
48,0.6249999999999999
49,0.9314907566045065
50,0.7925287581699346
53,0.44338742206976073
56,0.5291666666666669
59,0.8231666666666666
60,0.7318333333333334
64,0.7825547038210887
65,0.9698333333333331
66,0.7962142857142859
68,0.8893333333333334
69,0.7851886709232939
70,0.9358333333333333
71,0.7310999724671392
72,0.6196742001359827
76,0.8615000000000002
80,0.7687503797732915
82,0.6633333333333333
83,0.9488333333333334
85,0.9318233949102581
86,0.8263333333333334
87,0.7402900432900434
89,0.8276872967606055
97,0.8323333333333334
99,0.6430199573225516
101,0.828178919312248
102,0.2788333333333333
103,0.6243333333333334
104,0.448876237835419
106,0.9586666666666668
107,0.666666666666667
109,0.9171666666666668
111,0.4985955064448425
113,0.8238215588723052
114,0.5651969696969696
118,0.9041666666666666
119,0.6334640381149391
120,0.8676666666666666
123,0.7268828606284079
128,0.23716666666666666
129,0.8216666666666669
131,0.8690000000000001
133,0.64791452991453
134,0.7363333333333333
136,0.9593333333333336
137,0.7350681089743591
139,0.8483317351660757
140,0.9208333333333336
142,0.6777979031091829
144,0.679
146,0.8798576168929111
147,0.7155250682061463
148,0.9512619047619049
150,0.26483333333333325
151,0.13466666666666666
152,0.9553333333333335
155,0.9955000000000002
158,0.8517834625216839
159,0.6221910039892746
160,0.9730000000000001
161,0.6947434343434342
165,0.9664999999999999
166,0.39071428571428574
170,0.8824974358974357
171,0.7636666666666667
174,0.7650590164084281
175,0.6892783068783069
179,0.7187115063333552
180,0.9245000000000001
181,0.9310000000000002
184,0.6928224696356277
185,0.4191666666666666
187,0.8593333333333334
188,0.7553333333333336
190,0.7813571428571428
191,0.7428333333333333
192,0.7037719856698669
193,0.8468333333333335
196,0.8391666666666664
197,0.6039819786900381
198,0.7083829065728235
205,0.10349999999999998
211,0.881
213,0.7611666666666667
214,0.8643944313475013
217,0.6311223345312966
218,0.7916268514094603
221,0.6779999999999999
222,0.4833846446951194
225,0.7945000000000001
229,0.7241666666666668
236,0.6160832963799291
237,0.9449999999999997
238,0.7346666666666668
239,0.9450833333333335
242,0.7143192456724498
245,0.8192878567605335
246,0.8466166666666668
247,0.9513333333333333
248,0.9763333333333335
254,0.8722991869918698
255,0.5016666666666665
257,0.9265
259,0.7795
264,0.8736823354160538
270,0.6652873015873016
272,0.9511666666666664
274,0.4623063725490197
275,0.48833333333333356
